locus_tag,product,tier,predicted_call,confidence,evidence,measured_essential,ess_score,noness_score,conservation,n_paralogs,gene_len_aa,leading,mobile_dist_kb,n_sisters,max_sisters,ovote_ess,ovote_non,dnds,cross_validated
RS_RS25220,50S ribosomal protein L34,CONFIDENT_ESSENTIAL,essential,4,E_score|E_cons_core|E_geometry|E_ortho,1,0.97007994122697,0.018405015936772642,1.0,0.0,45,1,20.6,3,3,39,0,,True
RS_RS00005,ribonuclease P protein component,CONFIDENT_ESSENTIAL,essential,3,E_cons_core|E_geometry|E_ortho,1,0.9645515657401016,0.017270001888861523,1.0,0.0,144,1,20.95,3,3,26,0,0.1815887694263735,True
RS_RS00010,membrane protein insertion efficiency factor YidD,UNRESOLVED,unknown,0,E_geometry,0,0.4632202343174407,0.4833277840696285,0.2142857142857142,0.0,105,1,21.32,3,3,7,26,0.19811094541170404,True
RS_RS00015,membrane protein insertase YidC,CONFIDENT_ESSENTIAL,essential,2,E_cons_core|E_ortho,1,0.935621235270426,0.044012800764863844,1.0,0.0,554,1,22.31,3,3,44,0,,True
RS_RS00020,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,UNRESOLVED,unknown,0,E_cons_core,1,0.6972645021661327,0.2236480572723976,0.5641025641025641,0.0,475,1,24.0,3,3,26,19,0.1152317425581452,False
RS_RS00025,low molecular weight protein tyrosine phosphatase family protein,CONFIDENT_NONESSENTIAL,non-essential,3,E_geometry|N_score|N_pangenome_some|N_ortho|E_dnds,0,0.2513585344702749,0.764741172021438,0.0,0.0,108,1,24.97,2,3,0,6,0.09936250431089035,True
RS_RS00035,30S ribosomal protein S21,CONFIDENT_ESSENTIAL,essential,3,E_score|E_cons_core|E_ortho,1,0.9706353098858026,0.020910386542475484,1.0,0.0,71,0,26.36,3,3,39,0,,True
RS_RS00040,efflux transporter outer membrane subunit,CONDITIONAL_SUSPECT,unknown,0,N_score|N_redundancy|N_long_lagging|P_conditional,0,0.4164239088493718,0.5797143645340018,0.2631578947368421,19.0,515,0,27.72,3,3,104,359,0.26875916315543064,True
RS_RS00045,efflux RND transporter permease subunit,CONDITIONAL_SUSPECT,unknown,0,N_score|N_redundancy|N_long_lagging|E_dnds|P_conditional,0,0.1155246762484296,0.9287654467166692,0.0769230769230769,14.0,1050,0,30.07,3,3,55,416,0.09731322542538896,True
RS_RS00050,efflux RND transporter periplasmic adaptor subunit,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_redundancy,0,0.3586003863175179,0.6257231480275913,0.1794871794871795,13.0,399,0,32.27,3,3,138,374,,True
RS_RS00055,TetR family transcriptional regulator,CONFIDENT_ESSENTIAL,essential,3,E_cons_core|E_geometry|E_dnds|F_core_redundant,0,0.7846069714289061,0.18311458363842847,0.5365853658536586,15.0,220,1,33.72,3,3,362,261,0.030320086825747636,True
RS_RS00060,patatin-like phospholipase family protein,CONFIDENT_NONESSENTIAL,non-essential,2,E_geometry|N_score|N_ortho|P_rogue,0,0.1988262166021231,0.7754245687253255,0.0,0.0,298,1,34.5,3,3,0,6,0.1226342111642426,True
RS_RS00065,dihydrolipoyl dehydrogenase family protein,UNRESOLVED,unknown,0,E_cons_core,1,0.9163966709717788,0.039850469582514064,0.902439024390244,3.0,471,1,35.76,3,3,144,9,0.1480395287882952,False
RS_RS00070,DODA-type extradiol aromatic ring-opening family dioxygenase,ROGUE_SUSPECT,unknown,0,E_geometry|N_score|E_dnds|P_rogue,0,0.2209974535451574,0.7359758205014978,0.0294117647058823,0.0,297,1,37.06,3,3,1,43,0.06736944380066509,False
RS_RS00075,D-2-hydroxyacid dehydrogenase family protein,CONFIDENT_NONESSENTIAL,non-essential,2,N_score|N_redundancy|E_dnds,0,0.3825304485913788,0.6491504048865956,0.1951219512195122,4.0,343,0,38.05,3,3,39,144,0.022996955142256952,True
RS_RS00080,phosphoenolpyruvate carboxykinase (GTP),CONFIDENT_NONESSENTIAL,non-essential,1,N_score|E_dnds,0,0.2108485637209331,0.8094046805111228,0.125,0.0,623,1,37.98,3,3,1,11,0.09110374425957111,True
