locus_tag,product,tier,predicted_call,measured_essential,score_all_combined,conservation,n_paralogs,gene_len_aa,n_sisters,absent_all_sisters,rogue_suspect
RS_RS25220,50S ribosomal protein L34,CONFIDENT_ESSENTIAL,essential,1,0.97007994122697,1.0,0.0,45,3,False,False
RS_RS00005,ribonuclease P protein component,CONFIDENT_ESSENTIAL,essential,1,0.9645515657401016,1.0,0.0,144,3,False,False
RS_RS00010,membrane protein insertion efficiency factor YidD,PHENOTYPE_REQUIRED,unknown,0,0.4632202343174407,0.2142857142857142,0.0,105,3,False,False
RS_RS00015,membrane protein insertase YidC,CONFIDENT_ESSENTIAL,essential,1,0.935621235270426,1.0,0.0,554,3,False,False
RS_RS00020,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,PHENOTYPE_REQUIRED,unknown,1,0.6972645021661327,0.5641025641025641,0.0,475,3,False,False
RS_RS00025,low molecular weight protein tyrosine phosphatase family protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.2513585344702749,0.0,0.0,108,2,False,False
RS_RS00035,30S ribosomal protein S21,CONFIDENT_ESSENTIAL,essential,1,0.9706353098858026,1.0,0.0,71,3,False,False
RS_RS00040,efflux transporter outer membrane subunit,PHENOTYPE_REQUIRED,unknown,0,0.4164239088493718,0.2631578947368421,19.0,515,3,False,False
RS_RS00045,efflux RND transporter permease subunit,CONFIDENT_NONESSENTIAL,non-essential,0,0.1155246762484296,0.0769230769230769,14.0,1050,3,False,False
RS_RS00050,efflux RND transporter periplasmic adaptor subunit,PHENOTYPE_REQUIRED,unknown,0,0.3586003863175179,0.1794871794871795,13.0,399,3,False,False
RS_RS00055,TetR family transcriptional regulator,PHENOTYPE_REQUIRED,unknown,0,0.7846069714289061,0.5365853658536586,15.0,220,3,False,False
RS_RS00060,patatin-like phospholipase family protein,PHENOTYPE_REQUIRED,unknown,0,0.1988262166021231,0.0,0.0,298,3,False,True
RS_RS00065,dihydrolipoyl dehydrogenase family protein,CONFIDENT_ESSENTIAL,essential,1,0.9163966709717788,0.902439024390244,3.0,471,3,False,False
RS_RS00070,DODA-type extradiol aromatic ring-opening family dioxygenase,PHENOTYPE_REQUIRED,unknown,0,0.2209974535451574,0.0294117647058823,0.0,297,3,False,True
RS_RS00075,D-2-hydroxyacid dehydrogenase family protein,PHENOTYPE_REQUIRED,unknown,0,0.3825304485913788,0.1951219512195122,4.0,343,3,False,False
RS_RS00080,phosphoenolpyruvate carboxykinase (GTP),CONFIDENT_NONESSENTIAL,non-essential,0,0.2108485637209331,0.125,0.0,623,3,False,False
RS_RS00085,winged helix-turn-helix domain-containing protein,PHENOTYPE_REQUIRED,unknown,0,0.2049250461049048,0.0,0.0,280,3,False,True
RS_RS00090,DUF3617 domain-containing protein,PHENOTYPE_REQUIRED,unknown,1,0.2403394879982764,0.0,0.0,155,3,False,True
RS_RS00095,2-oxo-tetronate isomerase,PHENOTYPE_REQUIRED,unknown,0,0.2803475392091603,0.074074074074074,1.0,263,3,False,False
RS_RS00100,response regulator,PHENOTYPE_REQUIRED,unknown,1,0.6869387459172226,0.4210526315789473,11.0,211,3,False,False
RS_RS00105,cache domain-containing protein,PHENOTYPE_REQUIRED,unknown,0,0.1609597924986698,0.0,0.0,488,3,False,True
RS_RS00110,carbon starvation CstA family protein,PHENOTYPE_REQUIRED,unknown,0,0.1400023718644053,0.04,0.0,687,3,False,True
RS_RS00115,YbdD/YjiX family protein,PHENOTYPE_REQUIRED,unknown,0,0.5113133684905167,0.2352941176470588,0.0,65,3,False,False
RS_RS00120,tetratricopeptide repeat protein,PHENOTYPE_REQUIRED,unknown,0,0.2151366601323248,0.0,0.0,253,3,False,True
RS_RS00125,phasin family protein,PHENOTYPE_REQUIRED,unknown,0,0.2411721105227049,0.0,0.0,174,3,False,True
RS_RS00130,methionine biosynthesis protein MetW,PHENOTYPE_REQUIRED,unknown,0,0.2689762178043142,0.05,0.0,216,3,False,True
RS_RS00135,homoserine O-succinyltransferase MetX,CONFIDENT_NONESSENTIAL,non-essential,0,0.2609670722656817,0.1071428571428571,0.0,404,3,False,False
RS_RS00140,NAD-dependent succinate-semialdehyde dehydrogenase,PHENOTYPE_REQUIRED,unknown,0,0.2681649901843148,0.125,13.0,498,3,False,False
RS_RS00145,4-aminobutyrate--2-oxoglutarate transaminase,PHENOTYPE_REQUIRED,unknown,1,0.5314215917306794,0.3658536585365853,6.0,427,3,False,False
RS_RS00150,PLP-dependent aminotransferase family protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.1716389216840549,0.027027027027027,7.0,510,3,False,False
RS_RS00155,nucleoid occlusion factor SlmA,PHENOTYPE_REQUIRED,unknown,0,0.3515650339808253,0.1428571428571428,0.0,219,3,False,False
RS_RS00160,pyrimidine 5'-nucleotidase,PHENOTYPE_REQUIRED,unknown,0,0.4166537125231487,0.2307692307692307,0.0,288,3,False,False
RS_RS00165,acetylglutamate kinase,PHENOTYPE_REQUIRED,unknown,1,0.6792170646511286,0.475,0.0,311,3,False,False
RS_RS00170,sigma-70 family RNA polymerase sigma factor,PHENOTYPE_REQUIRED,unknown,1,0.7799552923961443,0.5526315789473685,6.0,198,3,False,False
RS_RS00175,zf-HC2 domain-containing protein,PHENOTYPE_REQUIRED,unknown,0,0.2564409628024601,0.0,0.0,72,3,False,True
RS_RS00180,cysteine-rich CWC family protein,CONFIDENT_NONESSENTIAL,non-essential,1,0.2435621032120065,0.0,0.0,81,2,False,False
RS_RS00185,hypothetical protein,PHENOTYPE_REQUIRED,unknown,1,0.2633471507903561,0.0,0.0,72,3,False,True
RS_RS00190,copper chaperone PCu(A)C,PHENOTYPE_REQUIRED,unknown,0,0.6639616442603149,0.4166666666666667,0.0,168,3,False,False
RS_RS00195,ATP-binding protein,PHENOTYPE_REQUIRED,unknown,0,0.2664848545646878,0.1481481481481481,0.0,449,3,False,False
RS_RS00200,response regulator transcription factor,PHENOTYPE_REQUIRED,unknown,0,0.6706386348074556,0.4444444444444444,0.0,193,3,False,False
RS_RS00205,hypothetical protein,PHENOTYPE_REQUIRED,unknown,0,0.1645980977087942,0.0,0.0,431,3,False,True
RS_RS00210,ATP-dependent protease ATPase subunit HslU,PHENOTYPE_REQUIRED,unknown,0,0.2255309360199612,0.0833333333333333,0.0,444,3,False,True
RS_RS00215,ATP-dependent protease subunit HslV,PHENOTYPE_REQUIRED,unknown,0,0.4182001110466554,0.1944444444444444,0.0,179,3,False,False
RS_RS00220,ABC transporter substrate-binding protein,CONFIDENT_NONESSENTIAL,non-essential,0,0.2109159475186425,0.088235294117647,5.0,531,3,False,False
