locus_tag,true_essential,has_catalysis_rules,n_rules,ae_pred_lenient,ae_pred_strict,evidence,ae_pred_lenient_filled,ae_pred_strict_filled
JCVISYN3A_0001,1,False,0,,,no_rules,0,0
JCVISYN3A_0002,1,False,0,,,no_rules,0,0
JCVISYN3A_0003,1,False,0,,,no_rules,0,0
JCVISYN3A_0004,0,False,0,,,no_rules,0,0
JCVISYN3A_0005,0,False,0,,,no_rules,0,0
JCVISYN3A_0006,1,False,0,,,no_rules,0,0
JCVISYN3A_0007,1,False,0,,,no_rules,0,0
JCVISYN3A_0008,1,True,7,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HN', 'HO']",1,1
JCVISYN3A_0009,1,True,7,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HN', 'HO']",1,1
JCVISYN3A_0010,1,True,7,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HN', 'HO']",1,1
JCVISYN3A_0011,1,True,7,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HN', 'HO']",1,1
JCVISYN3A_0012,1,False,0,,,no_rules,0,0
JCVISYN3A_0025,1,False,0,,,no_rules,0,0
JCVISYN3A_0026,1,False,0,,,no_rules,0,0
JCVISYN3A_0027,1,False,0,,,no_rules,0,0
JCVISYN3A_0029,1,False,0,,,no_rules,0,0
JCVISYN3A_0030,1,False,0,,,no_rules,0,0
JCVISYN3A_0033,1,False,0,,,no_rules,0,0
JCVISYN3A_0034,0,False,0,,,no_rules,0,0
JCVISYN3A_0039,1,False,0,,,no_rules,0,0
JCVISYN3A_0040,1,False,0,,,no_rules,0,0
JCVISYN3A_0042,1,False,0,,,no_rules,0,0
JCVISYN3A_0043,0,False,0,,,no_rules,0,0
JCVISYN3A_0044,1,False,0,,,no_rules,0,0
JCVISYN3A_0045,1,True,2,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HN', 'HO']",1,1
JCVISYN3A_0046,1,False,0,,,no_rules,0,0
JCVISYN3A_0047,1,False,0,,,no_rules,0,0
JCVISYN3A_0054,0,False,0,,,no_rules,0,0
JCVISYN3A_0060,1,False,0,,,no_rules,0,0
JCVISYN3A_0061,1,False,0,,,no_rules,0,0
JCVISYN3A_0063,0,False,0,,,no_rules,0,0
JCVISYN3A_0064,1,False,0,,,no_rules,0,0
JCVISYN3A_0065,1,True,2,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HN', 'HO']",1,1
JCVISYN3A_0066,1,False,0,,,no_rules,0,0
JCVISYN3A_0076,1,False,0,,,no_rules,0,0
JCVISYN3A_0077,1,False,0,,,no_rules,0,0
JCVISYN3A_0079,1,False,0,,,no_rules,0,0
JCVISYN3A_0080,0,False,0,,,no_rules,0,0
JCVISYN3A_0081,1,False,0,,,no_rules,0,0
JCVISYN3A_0082,1,False,0,,,no_rules,0,0
JCVISYN3A_0094,0,False,0,,,no_rules,0,0
JCVISYN3A_0095,1,False,0,,,no_rules,0,0
JCVISYN3A_0097,1,False,0,,,no_rules,0,0
JCVISYN3A_0105,0,False,0,,,no_rules,0,0
JCVISYN3A_0106,0,False,0,,,no_rules,0,0
JCVISYN3A_0107,1,False,0,,,no_rules,0,0
JCVISYN3A_0108,1,False,0,,,no_rules,0,0
JCVISYN3A_0109,1,False,0,,,no_rules,0,0
JCVISYN3A_0113,1,False,0,,,no_rules,0,0
JCVISYN3A_0114,1,True,1,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HN', 'HO']",1,1
JCVISYN3A_0115,1,True,2,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HN', 'HO']",1,1
JCVISYN3A_0116,1,False,0,,,no_rules,0,0
JCVISYN3A_0117,1,True,2,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HO']",1,1
JCVISYN3A_0126,1,False,0,,,no_rules,0,0
JCVISYN3A_0127,0,False,0,,,no_rules,0,0
JCVISYN3A_0128,1,False,0,,,no_rules,0,0
JCVISYN3A_0129,1,True,4,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HN', 'HO']",1,1
JCVISYN3A_0131,1,True,2,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HO']",1,1
JCVISYN3A_0132,1,False,0,,,no_rules,0,0
JCVISYN3A_0133,0,False,0,,,no_rules,0,0
JCVISYN3A_0137,1,False,0,,,no_rules,0,0
JCVISYN3A_0138,1,False,0,,,no_rules,0,0
JCVISYN3A_0139,1,True,2,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HN', 'HO']",1,1
JCVISYN3A_0140,1,True,4,1.0,1.0,"essential_pairs:['CC', 'CH', 'CO', 'HH', 'HN', 'HO']",1,1
JCVISYN3A_0141,1,False,0,,,no_rules,0,0
