organism,locus_tag,gene_name,essential,source,source_url
syn3a,JCVISYN3A_0001,dnaA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0002,dnaN,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0003,rnmV,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0004,ksgA,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0005,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0006,gyrB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0007,gyrA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0008,rnsD; uptD,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0009,rnsC; uptD,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0010,rnsA; uptA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0011,rnsB; uptB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0012,metRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0918,hisB,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0913,tetM,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0025,rpsR,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0026,priB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0027,rpsF,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0029,acpD; azoR,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0030,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0033,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0034,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0039,ftsH,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0040,tilS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0042,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0043,yabD,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0044,holA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0045,tmk,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0046,recR,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0047,dnaX,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0054,ahpC,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0060,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0061,serRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0063,dusB,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0064,lysRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0065,trxA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0066,dumP,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0076,asnRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0077,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0079,tsaD,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0080,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0081,mnmE; trmE,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0082,rpsT,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0094,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0095,secA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0097,yycJ,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0105,xseB,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0106,xseA,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0107,nusB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0108,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0109,nfo,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0113,bcsA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0114,bcsB; cps,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0115,galU; gtaB,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0116,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0117,plsY,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0126,gluRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0127,,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0128,rpoE,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0129,pyrG,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0131,fbaA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0132,ietA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0133,ietS,0,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0137,rpmE,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0138,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0139,ytqI; orn,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0140,tdk,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0141,prfA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0142,prmC,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0143,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0144,tsaC,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0145,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0146,ywnG-like,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0147,clsA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0148,rpsL,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0149,rpsG,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0150,fusA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0151,tuf,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0163,alaRS,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0164,,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0165,amiC,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0166,oppC,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0167,amiE,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0168,amiF,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
syn3a,JCVISYN3A_0169,amiA,1,Breuer 2019 eLife,memory_bank/data/syn3a_essentiality_breuer2019.csv
