pid	reaction_id	reaction	category	PREDICTED_GENE	is_real_gene	copied	starved	n_examples	top_similarity	compartment_ok	compartments	reason
0	R-HSA-1028788		transition	FUT8	True	False	True	0	0.000	True	Golgi lumen	GDP-fucose donor transferring Fuc in alpha-1,6 linkage onto the innermost (core) GlcNAc of an N-glycan is core fucosylation, the sole activity of the Golgi alpha-1,6-fucosyltransferase.
1	R-HSA-1022133		transition	ST6GAL1	True	False	True	0	0.000	True	Golgi lumen	Golgi transfer of Neu5Ac onto terminal Gal of N-linked glycoprotein glycans in alpha-2,6 linkage.
2	R-HSA-1022129		transition	ST3GAL4	True	False	True	0	0.000	True	Golgi lumen	Golgi transfer of Neu5Ac onto terminal Gal-beta1,4-GlcNAc of glycoprotein N-glycans in alpha-2,3 linkage, the alternative sialyl linkage to the alpha-2,6 route.
3	R-HSA-1008248		transition	AK3	True	False	False	12	0.200	True	mitochondrial matrix	GTP-specific gamma-phosphoryl transfer to AMP in the mitochondrial matrix, i.e. GTP:AMP phosphotransferase rather than the ATP-dependent adenylate kinases.
4	R-HSA-1028816		transition	KPNA1	True	False	True	0	0.000	True	cytosol;nucleoplasm	Importin-alpha5 recognition of the exposed NLS on phospho-IRF3/IRF7 dimers drives their carrier-mediated import from cytosol to nucleoplasm.
5	R-HSA-109338		transition	ECI1	True	False	True	0	0.000	True	mitochondrial matrix	Shift of a cis-3 double bond into the trans-2 position of the acyl-CoA, the classic delta3,delta2-enoyl-CoA isomerisation needed for beta-oxidation of odd-position unsaturated fatty acids in the matrix.
6	R-HSA-109278		transition	NT5E	True	False	True	9	0.250	True	extracellular region	Ecto-5'-nucleotidase hydrolysis of the 5'-phosphomonoester of purine (deoxy)nucleotides on the outer face of the plasma membrane, releasing adenosine/inosine plus Pi.
7	R-HSA-1028821		transition	IRF3	True	True	True	3	0.286	True	cytosol	Phosphoserine-driven self-association of the IRF C-terminal autoinhibitory domain, giving homo- and heterodimers with no separate catalyst beyond the IRFs themselves.
8	R-HSA-109291		transition	NT5E	True	False	True	9	0.250	True	extracellular region	Same ecto-5'-nucleotidase phosphomonoesterase acting on extracellular pyrimidine 5'-monophosphates to give cytidine, thymidine and uridine plus Pi.
9	R-HSA-109343		transition	DECR1	True	False	False	12	0.429	True	mitochondrial matrix	NADPH/NADH-dependent reduction of the 2-trans double bond of a 2-trans,4-cis-dienoyl-CoA to a 3-trans-enoyl-CoA, the auxiliary 2,4-dienoyl-CoA reductase step of matrix beta-oxidation.
