locus_tag,gene_name,true_essential,v15_call,v15_conf,failure_mode,n_total_rules,n_patched_rules,patched_fraction,patched_rule_names,sensitivity_label
JCVISYN3A_0003,rnmV,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0002,dnaN,1,1,0.8,dna_replication_blocked,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0004,ksgA,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0001,dnaA,1,1,0.8,dna_replication_blocked,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0005,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0008,rnsD; uptD,1,1,0.9,translation_stall,7,0,0.0,,no_patched_dependency
JCVISYN3A_0007,gyrA,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0006,gyrB,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0009,rnsC; uptD,1,1,0.9,translation_stall,7,0,0.0,,no_patched_dependency
JCVISYN3A_0010,rnsA; uptA,1,1,0.9,translation_stall,7,0,0.0,,no_patched_dependency
JCVISYN3A_0011,rnsB; uptB,1,1,0.9,translation_stall,7,0,0.0,,no_patched_dependency
JCVISYN3A_0012,metRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0025,rpsR,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0918,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0913,tetM,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0026,priB,1,1,0.8,dna_replication_blocked,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0027,rpsF,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0029,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0030,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0033,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0034,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0039,ftsH,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0040,tilS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0042,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0043,yabD,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0044,holA,1,1,0.8,dna_replication_blocked,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0045,tmk,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0046,recR,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0047,dnaX,1,1,0.8,dna_replication_blocked,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0054,ahpC,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0060,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0061,serRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0063,dusB,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0064,lysRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0066,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0065,trxA,1,0,0.0,none,2,0,0.0,,no_patched_dependency
JCVISYN3A_0076,asnRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0077,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0079,tsaD,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0080,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0082,rpsT,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0081,mnmE; trmE,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0094,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0095,secA,1,1,0.8,membrane_integrity,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0097,yycJ,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0105,xseB,0,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0106,xseA,0,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0107,nusB,1,1,0.8,transcription_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0108,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0109,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0113,bcsA,1,1,0.8,membrane_integrity,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0114,bcsB; cps,1,1,0.8,membrane_integrity,1,0,0.0,,no_patched_dependency
JCVISYN3A_0115,galU; gtaB,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0116,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0117,plsY,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0127,,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0128,rpoE,1,1,0.8,transcription_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0126,gluRS,1,1,0.8,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0129,pyrG,1,1,0.8,essential_metabolite_depletion,4,0,0.0,,no_patched_dependency
JCVISYN3A_0131,fbaA,1,1,1.0,catalysis_silenced,2,0,0.0,,no_patched_dependency
JCVISYN3A_0132,ietA,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0133,ietS,0,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0137,rpmE,1,1,0.9,translation_stall,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0138,,1,0,0.0,none,0,0,0.0,,no_catalysis_rules
JCVISYN3A_0139,ytqI; orn,1,0,0.0,none,2,0,0.0,,no_patched_dependency
