organism,clade,fold,n_genes,n_essential,ess_rate
aeromonas,aeromonas,3,3852,394,0.102
beril_ANA3,shewanella,4,3891,820,0.211
beril_BFirm,burkholderia,3,5983,2560,0.428
beril_Btheta,bacteroides,4,2295,597,0.26
beril_Burk376,burkholderia,3,5549,2140,0.386
beril_Caulo,caulobacter,2,2680,646,0.241
beril_Cola,beril_cola_unknown,2,2964,644,0.217
beril_Cup4G11,ralstonia,1,5506,1612,0.293
beril_Dda3937,dickeya,2,3943,759,0.192
beril_Ddia6719,dickeya,2,3876,832,0.215
beril_DdiaME23,dickeya,2,3864,679,0.176
beril_Dino,dinoroseobacter,3,3105,1050,0.338
beril_DvH,desulfovibrio,1,2514,616,0.245
beril_Dyella79,dyella,2,3076,733,0.238
beril_HerbieS,herbaspirillum,2,3856,1212,0.314
beril_Kang,kangiella,1,1928,507,0.263
beril_Keio,escherichia,4,3585,605,0.169
beril_Korea,beril_korea_unknown,4,2895,805,0.278
beril_Koxy,klebsiella,3,4480,1232,0.275
beril_MR1,shewanella,4,3589,657,0.183
beril_Magneto,magnetospirillum,4,2650,1175,0.443
beril_Marino,marinobacter,4,3142,844,0.269
beril_Methanococcus_JJ,archaea_methanococcus,3,1605,366,0.228
beril_Methanococcus_S2,archaea_methanococcus,3,1634,507,0.31
beril_Miya,beril_miya_unknown,3,2553,690,0.27
beril_PS,beril_PS_unknown,2,2650,1003,0.378
beril_PV4,pseudovibrio,2,3458,1024,0.296
beril_Pedo557,pedobacter,3,3003,633,0.211
beril_Phaeo,phaeobacter,4,3065,981,0.32
beril_Ponti,beril_ponti_unknown,3,2789,656,0.235
beril_Putida,pseudomonas,0,4715,917,0.194
beril_RalstoniaBSBF1503,ralstonia,1,4557,1307,0.287
beril_RalstoniaGMI1000,ralstonia,1,4445,1361,0.306
beril_RalstoniaPSI07,ralstonia,1,4343,1033,0.238
beril_RalstoniaUW163,ralstonia,1,4519,1393,0.308
beril_SB2B,shewanella,4,3355,681,0.203
beril_Smeli,sinorhizobium,2,4221,1263,0.299
beril_SynE,synechococcus,2,1509,755,0.5
beril_SyringaeB728a,pseudomonas,0,5069,1111,0.219
beril_SyringaeB728a_mexBdelta,pseudomonas,0,5069,1176,0.232
beril_WCS417,pseudomonas,0,5055,1709,0.338
beril_acidovorax_3H11,acidovorax,4,3633,1164,0.32
beril_azobra,azotobacter,4,3780,1329,0.352
beril_psRCH2,pseudomonas,0,3681,1050,0.285
beril_pseudo13_GW456_L13,pseudomonas,0,4641,1025,0.221
beril_pseudo1_N1B4,pseudomonas,0,5004,1997,0.399
beril_pseudo3_N2E3,pseudomonas,0,5206,918,0.176
beril_pseudo5_N2C3_1,pseudomonas,0,5643,1331,0.236
beril_pseudo6_N2E2,pseudomonas,0,5413,1169,0.216
ecoli_BW25113_tradis,escherichia,4,3576,139,0.039
mgen,mycoplasmoid_minimal,4,486,382,0.786
mpne,mycoplasmoid_minimal,4,56,27,0.482
mtub,mycobacterium,3,3638,760,0.209
reut,ralstonia,1,6036,260,0.043
reut_full,ralstonia,1,6289,513,0.082
saur_NCTC8325_biotradis,staphylococcus,3,2290,415,0.181
spne19F,streptococcus,2,1667,196,0.118
spneT4,streptococcus,2,2032,197,0.097
syn3a,mycoplasmoid_minimal,4,455,383,0.842
deg_Acinetobacter_baylyi_ADP1,acinetobacter,,,,
deg_Bacillus_subtilis_168,bacillus,,,,
deg_Bacteroides_fragilis_638R,bacteroides,,,,
deg_Campylobacter_jejuni_subsp_jejuni_81_176,campylobacter,,,,
deg_Campylobacter_jejuni_subsp_jejuni_NCTC_1,campylobacter,,,,
deg_Francisella_novicida_U112,francisella,,,,
deg_Haemophilus_influenzae_Rd_KW20,haemophilus,,,,
deg_Porphyromonas_gingivalis_ATCC_33277,bacteroides,,,,
deg_Pseudomonas_aeruginosa_PAO1,pseudomonas,,,,
deg_Salmonella_enterica_serovar_Typhi,salmonella,,,,
deg_Salmonella_enterica_serovar_Typhi_Ty2,salmonella,,,,
deg_Salmonella_enterica_serovar_Typhimurium_,salmonella,,,,
deg_Salmonella_typhimurium_LT2,salmonella,,,,
deg_Streptococcus_mutans_UA159,streptococcus,,,,
deg_Streptococcus_pyogenes_NZ131,streptococcus,,,,
deg_Streptococcus_sanguinis,streptococcus,,,,
