organism,locus,absent_from_feba,min_fit_sig
beril_RalstoniaBSBF1503,RALBFv3_RS00010,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00015,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00020,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00025,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00030,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00035,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00040,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00045,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00050,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00055,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00060,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00065,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00070,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00075,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00080,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00085,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00090,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00095,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00100,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00105,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00110,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00115,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00120,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00125,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00130,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00135,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00140,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00145,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00150,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00155,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00160,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00165,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00170,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00175,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00180,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00185,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00190,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00195,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00200,0,1.315
beril_RalstoniaBSBF1503,RALBFv3_RS00205,1,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00210,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00215,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00220,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00225,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00230,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00235,0,0.0
beril_RalstoniaBSBF1503,RALBFv3_RS00240,0,0.0
