seq_id	smiles_id	organism	ec	substrate	log10_kcat	gene	cluster_id	fold
80	146	Actinidia chinensis	4.2.3.4	3-deoxy-D-arabino-heptulosonic acid 7-phosphate	1.3031960574204888		80	0
6274	150	Aspergillus nidulans	4.2.3.4	3-deoxy-D-arabino-heptulosonate 7-phosphate	0.8325089127062363		6274	4
319	146	Neurospora crassa	4.2.3.4	3-deoxy-D-arabino-heptulosonic acid 7-phosphate	1.2787536009528289		319	4
7315	2653	Streptomyces coelicolor	2.1.1.255	S-Adenosyl-L-methionine	-2.1249387366083		7315	1
7315	1275	Streptomyces coelicolor	2.1.1.255	(E)-2-Methylgeranyl diphosphate	-1.408935392973501		7315	1
3608	785	Pseudomonas sp.	1.2.1.65	Benzaldehyde	1.421603926869831		3608	3
3608	594	Pseudomonas sp.	1.2.1.65	p-Nitrobenzaldehyde	1.7708520116421442		3608	3
3608	520	Pseudomonas sp.	1.2.1.65	3-Chlorobenzaldehyde	1.8129133566428555		3608	3
3608	723	Pseudomonas sp.	1.2.1.65	o-Hydroxybenzaldehyde	1.9712758487381052		3608	3
3608	883	Pseudomonas sp.	1.2.1.65	2-Naphthaldehyde	1.9822712330395684		3608	3
3608	591	Pseudomonas sp.	1.2.1.65	4-Chlorobenzaldehyde	1.9912260756924949		3608	3
3576	1998	Escherichia coli	2.7.1.49	pyridoxine	-0.44369749923271273		3576	2
3576	2003	Escherichia coli	2.7.1.49	2-methyl-4-amino-5-hydroxymethylpyrimidine	-0.36653154442041347		3576	2
3576	959	Escherichia coli	2.7.1.49	ATP	-0.36653154442041347		3576	2
7521	485	Streptomyces griseus	1.10.3.4	3,4-Dihydroxybenzaldehyde	-0.09691001300805639		7521	2
7521	730	Streptomyces griseus	1.10.3.4	Catechol	1.0791812460476249		7521	2
7521	484	Streptomyces griseus	1.10.3.4	3-amino-4-hydroxybenzaldehyde	1.146128035678238		7521	2
7521	1906	Streptomyces griseus	1.10.3.4	2-Amino-p-cresol	1.255272505103306		7521	2
7521	728	Streptomyces griseus	1.10.3.4	o-aminophenol	1.3010299956639813		7521	2
996	2649	Ruegeria pomeroyi	2.1.1.269	dimethylsulfoniopropionate	0.38021124171160603		996	3
2254	921	Homo sapiens	1.1.1.22	UDP-D-galactose	-1.6989700043360187		2256	3
2254	663	Homo sapiens	1.1.1.22	NAD+	-1.2596373105057561		2256	3
3087	921	Streptococcus pyogenes	1.1.1.22	UDP-D-galactose	0.25527250510330607		3089	4
5351	921	Pseudomonas aeruginosa	1.1.1.22	UDP-D-galactose	-0.09151498112135022		5351	4
5351	663	Pseudomonas aeruginosa	1.1.1.22	NAD+	0.37106786227173627		5351	4
2255	921	Homo sapiens	1.1.1.22	UDP-D-galactose	2.0211892990699383	UGDH	2256	3
7525	921	Arabidopsis thaliana	1.1.1.22	UDP-D-galactose	0.40312052117581787		7526	1
2255	663	Homo sapiens	1.1.1.22	NAD+	2.0211892990699383	UGDH	2256	3
2256	918	Homo sapiens	1.1.1.22	UDP	1.9867717342662448		2256	3
2255	918	Homo sapiens	1.1.1.22	UDP	2.0211892990699383	UGDH	2256	3
6279	232	Escherichia coli	5.4.2.10	beta-D-Glucose 1-phosphate	-1.8601209135987635		6279	3
6279	182	Escherichia coli	5.4.2.10	D-Glucosamine 6-phosphate	0.8976270912904415		6279	3
6849	262	Escherichia coli	4.1.2.4	2-Deoxy-D-ribose	-1.193820026016113		6852	4
6852	262	Escherichia coli	4.1.2.4	2-Deoxy-D-ribose	-0.9706162223147904		6852	4
6851	262	Escherichia coli	4.1.2.4	2-Deoxy-D-ribose	-0.7569619513137056		6852	4
6850	262	Escherichia coli	4.1.2.4	2-Deoxy-D-ribose	-0.6777807052660807		6852	4
5712	262	Rhodococcus erythropolis	4.1.2.4	2-Deoxy-D-ribose	0.08990511143939793		5712	4
1329	1670	Rattus norvegicus	1.14.15.15	Cholesterol	-1.9318141382538383		1329	1
1329	1675	Rattus norvegicus	1.14.15.15	1-alpha-Hydroxyvitamin D3	-1.632644078973981		1329	1
98	1660	Homo sapiens	1.14.15.15	3beta-hydroxy-5alpha-cholest-8(14)-en-15-one	-1.136677139879544	CYP27A1	98	4
1329	1668	Rattus norvegicus	1.14.15.15	3alpha,7alpha-Dihydroxy-5beta-cholestane	-0.6635402661514705		1329	1
1329	1663	Rattus norvegicus	1.14.15.15	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane	-0.2218487496163564		1329	1
6022	711	Streptomyces coelicolor	5.3.1.24	N-(5-Phospho-D-ribosyl)anthranilate	0.146128035678238		6023	2
6023	711	Streptomyces coelicolor	5.3.1.24	N-(5-Phospho-D-ribosyl)anthranilate	1.0791812460476249		6023	2
7606	711	Thermotoga maritima	5.3.1.24	N-(5-Phospho-D-ribosyl)anthranilate	2.113943352306837		7606	2
6692	711	Saccharomyces cerevisiae	5.3.1.24	N-(5-Phospho-D-ribosyl)anthranilate	1.8388490907372552		6692	3
6433	1419	Zoogloea ramigera	1.1.1.36	2-methylacetoacetyl-CoA	1.4313637641589874		6433	3
6433	1716	Zoogloea ramigera	1.1.1.36	D-3-hydroxybutyryl-CoA	1.954242509439325		6433	3
6433	1342	Zoogloea ramigera	1.1.1.36	Acetoacetyl-CoA	2.4771212547196626		6433	3
4201	959	Aquifex aeolicus	2.7.1.130	ATP	-3.318758762624413		4198	1
4196	959	Aquifex aeolicus	2.7.1.130	ATP	-3.0809219076239263		4198	1
4190	959	Aquifex aeolicus	2.7.1.130	ATP	-2.886056647693163		4198	1
4193	959	Aquifex aeolicus	2.7.1.130	ATP	-2.8239087409443187		4198	1
4195	959	Aquifex aeolicus	2.7.1.130	ATP	-2.5686362358410126		4198	1
4194	959	Aquifex aeolicus	2.7.1.130	ATP	-2.537602002101044		4198	1
4198	959	Aquifex aeolicus	2.7.1.130	ATP	-2.337242168318426		4198	1
4199	959	Aquifex aeolicus	2.7.1.130	ATP	-2.1191864077192086		4198	1
4192	959	Aquifex aeolicus	2.7.1.130	ATP	-1.6575773191777938		4198	1
4202	959	Aquifex aeolicus	2.7.1.130	ATP	-1.3010299956639813		4198	1
4200	959	Aquifex aeolicus	2.7.1.130	ATP	-1.2441251443275085		4198	1
4197	959	Aquifex aeolicus	2.7.1.130	ATP	-1.136677139879544		4198	1
4191	959	Aquifex aeolicus	2.7.1.130	ATP	-0.3279021420642826		4198	1
4189	959	Aquifex aeolicus	2.7.1.130	ATP	0.5910646070264992		4198	1
7485	337	Oenococcus oeni	5.1.1.5	L-Lysine	-0.7958800173440752		7487	2
7484	337	Oenococcus oeni	5.1.1.5	L-Lysine	-0.494850021680094		7487	2
6115	312	Proteus mirabilis	5.1.1.5	L-Arginine	-0.42021640338318983		6114	0
7487	337	Oenococcus oeni	5.1.1.5	L-Lysine	0.012837224705172217		7487	2
7486	311	Oenococcus oeni	5.1.1.5	L-Ornithine	0.26245108973042947		7487	2
6115	337	Proteus mirabilis	5.1.1.5	L-Lysine	0.4099331233312945		6114	0
7486	337	Oenococcus oeni	5.1.1.5	L-Lysine	0.5440680443502757		7487	2
6114	312	Proteus mirabilis	5.1.1.5	L-Arginine	1.0073209529227445		6114	0
6111	312	Proteus mirabilis	5.1.1.5	L-Arginine	1.0346284566253203		6114	0
6113	337	Proteus mirabilis	5.1.1.5	L-Lysine	1.1740598077250255		6114	0
6109	312	Proteus mirabilis	5.1.1.5	L-Arginine	1.209515014542631		6114	0
6112	312	Proteus mirabilis	5.1.1.5	L-Arginine	1.2417954312951986		6114	0
6110	312	Proteus mirabilis	5.1.1.5	L-Arginine	1.2730012720637376		6114	0
6113	312	Proteus mirabilis	5.1.1.5	L-Arginine	1.2938043599193367		6114	0
6114	337	Proteus mirabilis	5.1.1.5	L-Lysine	1.3630475945210936		6114	0
6110	337	Proteus mirabilis	5.1.1.5	L-Lysine	1.494850021680094		6114	0
6109	337	Proteus mirabilis	5.1.1.5	L-Lysine	1.7048366062114038		6114	0
6111	337	Proteus mirabilis	5.1.1.5	L-Lysine	1.7437448785924612		6114	0
6112	337	Proteus mirabilis	5.1.1.5	L-Lysine	1.7958800173440752		6114	0
6263	503	Brevibacterium fuscum	1.13.11.15	4-Nitrocatechol	-0.3979400086720376		6264	1
6262	486	Brevibacterium fuscum	1.13.11.15	3,4-Dihydroxyphenylacetate	-0.6777807052660807		6264	1
6260	486	Brevibacterium fuscum	1.13.11.15	3,4-Dihydroxyphenylacetate	-0.5228787452803376		6264	1
6261	486	Brevibacterium fuscum	1.13.11.15	3,4-Dihydroxyphenylacetate	-0.045757490560675115		6264	1
6263	486	Brevibacterium fuscum	1.13.11.15	3,4-Dihydroxyphenylacetate	1.0		6264	1
6264	486	Brevibacterium fuscum	1.13.11.15	3,4-Dihydroxyphenylacetate	0.6020599913279624		6264	1
2459	372	Brassica oleracea	2.1.1.10	L-Homocysteine	-1.4259687322722812		2459	3
6364	372	Escherichia coli	2.1.1.10	L-Homocysteine	-0.42021640338318983		6364	4
6383	1524	Pseudomonas sp.	2.3.1.174	Coenzyme A	0.8939466073672677		6383	4
514	342	Cricetulus griseus	2.3.1.57	Spermidine	-0.2006594505464183		515	1
514	343	Cricetulus griseus	2.3.1.57	Spermine	-0.2006594505464183		515	1
515	343	Cricetulus griseus	2.3.1.57	Spermine	0.6989700043360189		515	1
515	342	Cricetulus griseus	2.3.1.57	Spermidine	0.9395192526186185		515	1
2927	343	Cryptosporidium parvum	2.3.1.57	Spermine	0.9542425094393249		2927	0
4622	847	Thermotoga maritima	2.6.1.9	L-Tryptophan	-1.8487323236474815		4622	0
4622	603	Thermotoga maritima	2.6.1.9	L-Tyrosine	-1.3631779027468984		4622	0
4622	449	Thermotoga maritima	2.6.1.9	L-Histidinol phosphate	-1.3309932187312141		4622	0
395	2667	Phanerochaete chrysosporium	1.11.1.13	Hexacyanoferrate(II)	1.5797835966168101		395	4
395	2687	Phanerochaete chrysosporium	1.11.1.13	Mn2+	2.462397997898956		395	4
395	2662	Phanerochaete chrysosporium	1.11.1.13	H2O2	2.403120521175818		395	4
7120	1935	Solanum torvum	3.2.1.186	4-Methylumbelliferyl-beta-D-glucoside	0.919078092376074		7120	2
7120	2037	Solanum torvum	3.2.1.186	Torvoside A	0.9344984512435677		7120	2
7120	641	Solanum torvum	3.2.1.186	p-Nitrophenyl-beta-D-glucoside	0.9590413923210935		7120	2
2872	368	Homo sapiens	2.7.7.14	Phosphoethanolamine	-1.7958800173440752		2875	2
2873	910	Homo sapiens	2.7.7.14	CTP	-0.721246399047171		2875	2
2874	910	Homo sapiens	2.7.7.14	CTP	-0.6989700043360187		2875	2
2873	368	Homo sapiens	2.7.7.14	Phosphoethanolamine	-0.638272163982407		2875	2
2875	910	Homo sapiens	2.7.7.14	CTP	-0.6020599913279624	PCYT2	2875	2
2875	368	Homo sapiens	2.7.7.14	Phosphoethanolamine	-0.6020599913279624	PCYT2	2875	2
2874	368	Homo sapiens	2.7.7.14	Phosphoethanolamine	-0.585026652029182		2875	2
5711	112	Cupriavidus necator	1.1.1.408	4-phospho-D-erythronate	0.5314789170422551		5711	2
4930	2315	Saccharolobus solfataricus	3.1.1.2	p-Nitrophenyl dodecanoate	2.4216039268698313		4930	1
4930	2334	Saccharolobus solfataricus	3.1.1.2	p-Nitrophenyl hexadecanoate	2.423245873936808		4930	1
4930	645	Saccharolobus solfataricus	3.1.1.2	4-Nitrophenyl phosphate	2.429752280002408		4930	1
4930	2178	Saccharolobus solfataricus	3.1.1.2	p-Nitrophenyl butyrate	2.45484486000851		4930	1
4930	2303	Saccharolobus solfataricus	3.1.1.2	4-nitrophenyl decanoate	2.5327543789924976		4930	1
4930	2289	Saccharolobus solfataricus	3.1.1.2	4-nitrophenyl caprylate	2.6127838567197355		4930	1
4930	2239	Saccharolobus solfataricus	3.1.1.2	p-Nitrophenyl caproate	2.6693168805661123		4930	1
985	1748	Homo sapiens	4.1.1.33	(R)-5-Diphosphomevalonate	-2.657577319177794		987	0
7422	1748	Saccharomyces cerevisiae	4.1.1.33	(R)-5-Diphosphomevalonate	-0.8239087409443188		7422	4
984	1748	Homo sapiens	4.1.1.33	(R)-5-Diphosphomevalonate	-0.6989700043360187		987	0
7416	1748	Saccharomyces cerevisiae	4.1.1.33	(R)-5-Diphosphomevalonate	-0.21467016498923297		7422	4
7418	1748	Saccharomyces cerevisiae	4.1.1.33	(R)-5-Diphosphomevalonate	-0.18708664335714442		7422	4
7417	1748	Saccharomyces cerevisiae	4.1.1.33	(R)-5-Diphosphomevalonate	0.22530928172586284		7422	4
986	1748	Homo sapiens	4.1.1.33	(R)-5-Diphosphomevalonate	0.3222192947339193		987	0
7415	1748	Saccharomyces cerevisiae	4.1.1.33	(R)-5-Diphosphomevalonate	0.5250448070368452		7422	4
987	1748	Homo sapiens	4.1.1.33	(R)-5-Diphosphomevalonate	0.6532125137753437	MVD	987	0
7420	1748	Saccharomyces cerevisiae	4.1.1.33	(R)-5-Diphosphomevalonate	0.6901960800285137		7422	4
7405	1133	Corynebacterium sp.	1.1.1.346	NADPH	0.5185139398778874		7404	2
7402	1133	Corynebacterium sp.	1.1.1.346	NADPH	0.8450980400142568		7404	2
7399	1133	Corynebacterium sp.	1.1.1.346	NADPH	0.8633228601204559		7404	2
7400	50	Corynebacterium sp.	1.1.1.346	2,5-didehydro-D-gluconate	0.919078092376074		7404	2
